project,mainline_commit,backport_commit,git_apply_success,patch_type,error
elasticsearch,64ae0aea45036be62aec076717816a27aa006437,c77b415a0fab6bd934aba8eb1c07882dbc961301,True,TYPE-I,
elasticsearch,33ea3116c9295012ceddbdddb5310918973a4753,59ed4058ecb837e9ae2baf144ab8e2313127360b,True,TYPE-I,
elasticsearch,8b8796908ac0c7a73566adb4647476b66656119c,4be91221508c078764536ab9ab1f3dc633a233c1,True,TYPE-I,
elasticsearch,38d9710e61744f94a78b053d6aaa006d6b60cbf1,07f5b56e2bb76a09ae3913bf69f3b3a0e4e6db37,True,TYPE-II,
elasticsearch,5efba5b43d79c15d8d7304d32e4f95a741134ffb,ffcf87ce1dbd769b5d12df18b48653a9ede8b5c3,False,TYPE-V,error: patch failed: x-pack/plugin/inference/src/main/java/org/elasticsearch/xpack/inference/services/elasticsearch/BaseElasticsearchInternalService.java:239
elasticsearch,465c65c02fdca9f3c3faa01a8cb15f9f58dde58e,a5e0226836e3c53b93c282d2c7d2f330476c564b,False,TYPE-II,error: patch failed: server/src/main/java/org/elasticsearch/index/codec/vectors/ES815BitFlatVectorsFormat.java:25
elasticsearch,7c2e0752df1833808ed496a865f3f13b75ef150d,3038a43e40f4e96f5533570a4e6f8d368fe252f5,True,TYPE-I,
elasticsearch,150058ef27df3da931b31e636bd8b335eacb1e66,1ffe41b4a7d5feef4c8a4141c753ed54271e3a56,True,TYPE-I,
elasticsearch,e1451997b1bbbf3f22b4b552352e65dc62e6a947,fc63a614ee3059cc361458efb02aed6eb68d6629,True,TYPE-I,
elasticsearch,64f661702a8c6e8656b8585dd0d67bc77fc71496,bdbd15eb68a4f53b38e70e2f2a34f882ee94e5fb,True,TYPE-I,
elasticsearch,f3cd890f3ea08e40d4cb49482bdea0f6e4afb13a,5def1072a798f7ff59efe50aa512e62df1ff8e48,False,TYPE-V,error: patch failed: muted-tests.yml:372
elasticsearch,8e3b3aa1a5c8cf8935b997dff54cc72a2eb591ee,1aed889d3a670f5fc2b6fd7c4139227ce131eb58,False,TYPE-II,error: patch failed: x-pack/plugin/logsdb/src/main/java/org/elasticsearch/xpack/logsdb/LogsdbIndexModeSettingsProvider.java:7
elasticsearch,7942f3eab080b053f97abbf6abef3619d515f32f,1ad4ae155f6dbe473c7829864ca77974859be6bd,True,TYPE-I,
elasticsearch,46e26c7237ba2ffa659c55aa801353d51aacbe9c,0f0efb79e327b3ce626ee8cd88e8bf3a4730154e,True,TYPE-I,
elasticsearch,a91a9a59685057eeb2f2ad5f264cc23525255e09,2b01c3b95f3df9d416c415d3313ca516bf85adb9,True,TYPE-I,
elasticsearch,c27bc086770b12a71c335e5537318f54cce53a65,fc701776e2a54f95f7e50a91ccfb604c34320387,True,TYPE-II,
elasticsearch,d1644b37ca64f3a646032895895d5900eee805af,74f523d4ccb6d26dc65c99138ccad1d43d6cdaaf,False,TYPE-V,error: patch failed: server/src/main/java/org/elasticsearch/index/query/SpanTermQueryBuilder.java:10
elasticsearch,44f379189925e9738873196f7c86788085ab0f98,309d234bf08d9361c987411146acc0003cb511fc,True,TYPE-I,
elasticsearch,9368bbeb193b1d2e7f33af90909311c86fc9a948,dab72ff1d862d23dcf7e630347d5c200a42ab6cf,True,TYPE-I,
elasticsearch,5531e5dcd2a3632685b4d27253c431fa11294cf8,cfbe148d907dbafca10449cd08882751154cbafb,True,TYPE-II,
elasticsearch,7facc94be6871804322a00a8e5b232cac958d788,4da7a0f3382770d860524ef0be52f0e4fb2e1559,False,TYPE-II,error: patch failed: rest-api-spec/build.gradle:58
elasticsearch,69fffdfecb882f9b75fe107b98c3e0fce803740b,03804af0cc57266c8c16c0e7186e76c77b831c27,True,TYPE-II,
elasticsearch,884196ced3599cd96baf6c6cafb05e3a28a6d198,cc3caa228def0974e5d8299e5321b0a6987f9e6e,False,TYPE-V,error: patch failed: server/src/main/java/org/elasticsearch/TransportVersions.java:221
elasticsearch,e93c0d2503596ef4837d64e01d1c9c2b2b639dfb,52a87ee9fe681f31b8721b67bfa4f20aa07294a7,True,TYPE-II,
elasticsearch,9b276e3c4acb7105a4c5669bc03809caf2152628,53ff0ac6d556c759d392f42490b55f32d95670f3,True,TYPE-II,
elasticsearch,aa959e69cc507a16f7f725240db2e7453c0a8320,dd4f4d56649c72622933fafd6f8dedf33a269918,False,TYPE-V,error: patch failed: x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/action/EsqlCapabilities.java:229
elasticsearch,281ee04f7aa227df3d734b3593232dca23b30d0a,25dbb58f01876c64a07ea5c085e73ca275c66a98,True,TYPE-II,
elasticsearch,48f87c57d9981af15f559c702459022deb2f2b11,a2338d7133ba9e364a3d663d505ecdb95a253895,True,TYPE-II,
elasticsearch,a587c7d26cb127a2dbe76d4d5769245d217d5cf7,d68a09462391f40f86a54694949eb2113a1c62a1,False,TYPE-II,error: patch failed: server/src/test/java/org/elasticsearch/rest/RestRequestTests.java:33
elasticsearch,d76e1af0a5bb00ac69abc8e608ba8c3f6b75e54f,63a3bd9396d1ff41dbcf06ed624450094c5ee3cf,True,TYPE-II,
elasticsearch,19dc8841d4053fd449a47c4e9bd26d35767d649e,26bab001dc36956c870b5a25884a2cef0e5440be,False,TYPE-II,error: modules/data-streams/src/javaRestTest/java/org/elasticsearch/datastreams/logsdb/qa/StandardVersusLogsIndexModeRandomDataChallengeRestIT.java: No such file or directory
